name,alpha_mean,alpha_std,beta_mean,beta_std,el_mean,el_std,mean,std
Cx,35.0,32.83159280237231,2.0716268207050033e-15,17.908141528850333,-1.4395069498547216e-15,14.923451273898028,0.04554522,0.09200227
Cz,35.0,32.83159280237231,2.0716268207050033e-15,17.908141528850333,-1.4395069498547216e-15,14.923451273898028,-1.1867367,1.038986
Cm,35.0,32.83159280237231,2.0716268207050033e-15,17.908141528850333,-1.4395069498547216e-15,14.923451273898028,-0.14334723,0.19694744
Cn,35.0,32.83159280237231,2.0716268207050033e-15,17.908141528850333,-1.4395069498547216e-15,14.923451273898028,-0.004951052,0.03779013
Cl,35.0,32.83159280237231,2.0716268207050033e-15,17.908141528850333,-1.4395069498547216e-15,14.923451273898028,-0.000419992,0.036459766
Cxq,35.0,31.766175384326992,0,0,0,0,1.7281077,0.79087687
Cyr,35.0,31.766175384326992,0,0,0,0,0.23474541,0.9157088
Cyp,35.0,31.766175384326992,0,0,0,0,0.3086051,0.792402
Czq,35.0,31.766175384326992,0,0,0,0,-25.988127,7.9392776
Clr,35.0,31.766175384326992,0,0,0,0,0.09115999,0.2040448
Clp,35.0,31.766175384326992,0,0,0,0,-0.2672132,0.21906038
Cmq,35.0,31.766175384326992,0,0,0,0,-6.0014496,4.0701094
Cnr,35.0,31.766175384326992,0,0,0,0,-0.38988802,0.20940931
Cnp,35.0,31.766175384326992,0,0,0,0,0.041128326,0.14870216
delta_Cx_lef,12.5,18.889815854358407,-1.8543586419481372e-15,17.436753096315226,0,0,-0.033890244,0.07466562
delta_Cz_lef,12.5,18.889815854358407,-1.8543586419481372e-15,17.436753096315226,0,0,0.022652501,0.062366735
delta_Cm_lef,12.5,18.889815854358407,-1.8543586419481372e-15,17.436753096315226,0,0,-0.00016262004,0.031579975
delta_Cy_lef,12.5,18.889815854358407,-1.8543586419481372e-15,17.436753096315226,0,0,-0.0016969407,0.0333251
delta_Cn_lef,12.5,18.889815854358407,-1.8543586419481372e-15,17.436753096315226,0,0,-0.00088846945,0.010256796
delta_Cl_lef,12.5,18.889815854358407,-1.8543586419481372e-15,17.436753096315226,0,0,0.001206136,0.0126194125
delta_Cxq_lef,12.500000000000002,18.770921818011402,0,0,0,0,-1.4672389,0.47734347
delta_Cyr_lef,12.500000000000002,18.770921818011402,0,0,0,0,-0.1043362,0.28763747
delta_Cyp_lef,12.500000000000002,18.770921818011402,0,0,0,0,-0.11157491,0.16049913
delta_Czq_lef,12.500000000000002,18.770921818011402,0,0,0,0,1.895563,6.587485
delta_Clr_lef,12.500000000000002,18.770921818011402,0,0,0,0,-0.07379634,0.2650414
delta_Clp_lef,12.500000000000002,18.770921818011402,0,0,0,0,0.0455015,0.10103295
delta_Cmq_lef,12.500000000000002,18.770921818011402,0,0,0,0,-0.4628895,1.1585821
delta_Cnr_lef,12.500000000000002,18.770921818011402,0,0,0,0,-0.017237326,0.1563747
delta_Cnp_lef,12.500000000000002,18.770921818011402,0,0,0,0,0.08182323,0.101402275
delta_Cy_r30,35.0,31.967380676606542,-1.8543586419481372e-15,17.436753096315226,0,0,0.045316376,0.04314986
delta_Cn_r30,35.0,31.967380676606542,-1.8543586419481372e-15,17.436753096315226,0,0,-0.02401995,0.018942408
delta_Cl_r30,35.0,31.967380676606542,-1.8543586419481372e-15,17.436753096315226,0,0,0.006648653,0.0065427264
Cy,35.0,31.967380676606542,-1.8543586419481372e-15,17.436753096315226,0,0,-0.018829454,0.2465761
delta_Cy_a20,35.0,31.967380676606542,-1.8543586419481372e-15,17.436753096315226,0,0,-0.0046835784,0.034058366
delta_Cn_a20,35.0,31.967380676606542,-1.8543586419481372e-15,17.436753096315226,0,0,0.003470112,0.012318406
delta_Cl_a20,35.0,31.967380676606542,-1.8543586419481372e-15,17.436753096315226,0,0,-0.024038067,0.017122844
delta_Cy_a20_lef,12.5,18.889815854358407,-1.8543586419481372e-15,17.436753096315226,0,0,0.0019919472,0.024982637
delta_Cn_a20_lef,12.5,18.889815854358407,-1.8543586419481372e-15,17.436753096315226,0,0,7.640122e-06,0.0041804835
delta_Cl_a20_lef,12.5,18.889815854358407,-1.8543586419481372e-15,17.436753096315226,0,0,0.0016446613,0.008678101
delta_Cnbeta,35.0,31.766175384326992,0,0,0,0,9.088426e-06,0.00019363205
delta_Clbeta,35.0,31.766175384326992,0,0,0,0,6.816479e-05,0.00016756973
delta_Cm,35.0,31.766175384326992,0,0,0,0,0.04565755,0.017994061
eta_el,0,0,0,0,1.1368683772161603e-15,14.439170629239541,0.99249566,0.013927779
