name,test_r2,test_error
delta_Cnr_lef,0.9977316749210275,0.0022492204769514502
delta_Cnbeta,0.9998482301263666,0.0001602764996641781
Cyr,0.9928904762738281,0.006708878427743912
delta_Clr_lef,0.9995523460276354,0.0004541377676650882
delta_Clbeta,0.9998483615483748,0.00014322754945169435
Cz,0.99888510748027,0.001130410046771323
Clr,0.9917587299929361,0.007872368274256587
delta_Cl_lef,0.9870734963738728,0.01272893681831605
Cnr,0.9980048755227964,0.0020903489040210842
delta_Cxq_lef,0.9996796094676227,0.00033991576521657407
Czq,0.9856382156954606,0.015234289690852165
delta_Cy_a20_lef,0.9795922789387741,0.01866573417981994
delta_Clp_lef,0.9993909825620538,0.0006310738564934582
delta_Cm,0.9955371515806581,0.004490277264267206
delta_Cl_r30,0.9840415894332255,0.015827448936245332
Cm,0.9951883720262116,0.004731917208247989
Cn,0.9913089925224213,0.0085918526647381
delta_Cm_lef,0.9873730502645722,0.012350729953973218
delta_Cn_r30,0.9940589925184833,0.005927889839026099
delta_Cy_lef,0.981827790215144,0.017759435139728566
Cxq,0.9881127178061031,0.012443052800372244
delta_Cy_r30,0.9866095298127111,0.013618197212827967
Cyp,0.9986803737568621,0.0013404947775416077
Cmq,0.9934421392115931,0.006586379073560238
delta_Cnp_lef,0.9928668462780303,0.0067549352720379825
delta_Cyp_lef,0.9999286561491955,6.638294420554303e-05
delta_Cn_a20_lef,0.9803526232183729,0.0199395730490433
Cnp,0.9974583686114484,0.0025057486107107254
delta_Cmq_lef,0.9914575506523684,0.007822556439787149
Cl,0.9939159521947981,0.005957430056378951
delta_Cy_a20,0.9862806422209681,0.013795132890792814
delta_Cx_lef,0.9988982017537185,0.0011025197425830766
delta_Cyr_lef,0.9943229613095987,0.005585543047636747
eta_el,0.999997353007776,2.8209589845573647e-06
Cy,0.9965419747708043,0.0033625968098673466
delta_Cz_lef,0.981130487619014,0.019085005170117457
delta_Cl_a20,0.9919061115259654,0.008096358109701505
Cx,0.9964163962614575,0.003571314652472426
delta_Czq_lef,0.9994905239832831,0.0005329195887316019
delta_Cl_a20_lef,0.9859475456733846,0.013393569255498707
delta_Cn_lef,0.9850677035197574,0.01431113181979204
Clp,0.9980990436386099,0.0022981605818495152
delta_Cn_a20,0.9828984815556641,0.01684969239240737
